م,الصنف,كمية,رويال الكيم / سنتر اللوتس التجاري,سعر التكلفة,رويال الكيم اونلاين,سعر1 كارت,رويال توزيع / عربيه,سعر2 كارت,ريال الكيم / اداره مخازن,سعر3 كارت,ROYAL ELCHIM . HURGADA,سعر4 كارت,ROYAL ELCHIM MARWA,تاريخ اخر حركة,الفرق,بيع,شراء,مرتجع بيع,مرتجع شراء,صادر,وارد,تالف,تسوية,قيمة بيع,قيمة شراء,قيمة مرتجع بيع,قيمة مرتجع شراء,قيمة تالف,الباركود,الوصف,حجز,غير مؤكد,ج تكلفة,نوع الصنف,اسم الصنف,الوصف 4,الوصف 5,ترتيب القائمة,سعر1 %,إجمالي الكمية,حد الطلب رويال الكيم / سنتر اللوتس التجاري,التصنيف الرئيسي,اسم القائمة,نواقص رويال الكيم / سنتر اللوتس التجاري,اخر تسوية رويال الكيم / سنتر اللوتس التجاري,صورة الصنف,اخر سعر شراء,سعر عرض,تاريخ النواقص,خصم بيع,خصم شراء,سعر1 = رويال الكيم / سنتر اللوتس التجاري,سعر2 = رويال الكيم / سنتر اللوتس التجاري,سعر3 = رويال الكيم / سنتر اللوتس التجاري,سعر4 = رويال الكيم / سنتر اللوتس التجاري,مطلوب حد الطلب,تاريخ اخر بيع,أونلاين,كمية أونلاين,تاريخ خصم أونلاين,سعر أونلاين,#هاشتاج,كلمات البحث,مورد اخر,ملاحظات,أول تاريخ,اخر تاريخ,تحت الطلب,نسبة الخصم**,اخر سعر تكلفة,تاريخ اخر شراء,*اسم الصنف Online,سعر تكلفة مخصص,إيقاف الإدراج,قيمة سعر1,قيمة سعر2,قيمة سعر3,قيمة سعر4,عدد الصور
,ACRYLIC NAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACRYLIC NAIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ACRYLIC NAIL TOP COAT UNO DIAMOND SHEILD,0,0,150,0,275,0,225,0,200,0,175,0,2026/02/25,,,,,,,,,,,,,,,089001,UNO,0,,0,ACRYLIC NAIL,TOP COAT,DIAMOND SHEILD,,,83٫33,0,0,,1,نواقص,99999,,140,,2026/02/25,,,,,,,,2026/02/25,,-1,,,,,GLOPAL,,,,0,45٫45,150,2023/02/24,,150,لا,275,225,200,175,0
2,ACRYLIC NAIL TOP COAT UNO SUPER SHINE,0,0,150,0,275,0,225,0,200,0,175,0,2023/12/11,,,,,,,,,,,,,,,2000110661113,UNO,0,,0,ACRYLIC NAIL,TOP COAT,SUPER SHINE,,,83٫33,0,0,,1,---,99999,,140,,,,,,,,,,2023/04/09,,-1,,,,,GLOPAL,,,,0,45٫45,150,2023/02/24,,150,لا,275,225,200,175,0
2,إجمالي -   ACRYLIC NAIL,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,,,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,0,,,0,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ARGAN DE LUXE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARGAN DE LUXE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ARGAN DE LUXE HAIR B& BODY SERUM,0,0,193٫75,0,285,0,260,0,240,0,220,0,2025/07/02,,,,,,,,,,,,,,,783583000420,,0,,0,ARGAN DE LUXE,HAIR B& BODY SERUM,,,,47٫1,0,0,,1,نواقص,99999,,220,,2025/04/16,,,,,,,,2025/04/15,,-1,,,,,عزت Omay,,,,0,32٫02,220,2024/05/23,,193٫75,لا,285,260,240,220,0
4,ARGAN DE LUXE INFUSING MASK HAIR,0,0,116٫67,0,185,0,165,0,150,0,135,0,2026/05/10,,,,,,,,,,,,,,,783583000321,,0,,0,ARGAN DE LUXE,INFUSING MASK HAIR,,,,58٫57,0,0,,1,نواقص,99999,,120,,2026/01/26,,,,,,,,2026/01/26,,-1,,,,,عزت Omay,,,,0,36٫94,120,2024/05/23,,116٫67,لا,185,165,150,135,0
5,ARGAN DE LUXE SHAMPO & BALSAM,0,0,230,0,375,0,350,0,300,0,275,0,2025/07/02,,,,,,,,,,,,,,,7835830003227,,0,,0,ARGAN DE LUXE,SHAMPO & BALSAM,,,,63٫04,0,0,,1,نواقص,99999,,235,,2025/02/03,,,,,,,,2025/03/04,,-1,,,,,عزت Omay,,,,0,38٫67,235,2024/05/23,,230,لا,375,350,300,275,0
6,ARGAN DE LUXE مجموعه ثلاثيه,0,0,450,0,700,0,650,0,600,0,550,0,2024/03/30,,,,,,,,,,,,,,,7891549896703,,0,,0,ARGAN DE LUXE,مجموعه ثلاثيه,,,,55٫56,0,0,,1,نواقص,99999,,450,,2024/03/31,,,,,,,,,,-1,,,,,عزت Omay,,,,0,35٫71,450,2023/12/30,,450,لا,700,650,600,550,0
4,إجمالي -   ARGAN DE LUXE,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,,,,,0,0,,,,,,,0,,,,,0,0,0,0,0,,,,,,,,,,,,,,0,,,0,,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AVON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AVON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AVON ARTISTIQUE 50ML IRIS FETICHE,0,0,160,0,275,0,225,0,200,0,175,0,2022/03/21,,,,,,,,,,,,,,,5059018044624,50ML,0,,0,AVON,ARTISTIQUE,IRIS FETICHE,,,71٫88,0,0,,1,نواقص,99999,,160,,2022/03/21,,,,,,,,2022/03/21,,-1,,,,,رصيد اول المده,,,,0,41٫82,160,2021/08/01,,160,لا,275,225,200,175,0
8,AVON BLACK SUID ROLL-ON,0,0,15,0,22,0,20,0,17,0,15,0,2021/09/14,,,,,,,,,,,,,,,049001,ROLL-ON,0,,0,AVON,BLACK SUID,,,,46٫67,0,0,,1,---,99999,,15,,,,,,,,,,2021/09/14,,-1,,,,,رصيد اول المده,,,,0,31٫82,15,2021/08/29,,15,لا,22,20,17,15,0
9,AVON Blite Gntlman Roll On,0,0,30,0,45,0,42,0,40,0,38,0,2024/04/08,,,,,,,,,,,,,,,5059018162540,Roll On,0,,0,AVON,Blite Gntlman,,,,50,0,0,,1,نواقص,99999,,30,,2024/04/08,,,,,,,,2024/04/08,,-1,,,,,,,,,0,33٫33,30,2024/03/11,,30,لا,45,42,40,38,0
10,AVON BODY LOTION CARE REVITALISING,0,0,45,0,75,0,65,0,60,0,50,0,2021/12/18,,,,,,,,,,,,,,,5059018003898,CARE,0,,0,AVON,BODY LOTION,REVITALISING,750ML,,66٫67,0,0,,1,---,99999,\us\134\pid\1227\f132793952552791876001.png,45,,,,,,,,,,2021/12/18,,-1,,,,,رصيد اول المده,,,,0,40,45,2021/08/03,,45,لا,75,65,60,50,1
11,AVON BOUQUET 50 ML,0,0,95,0,150,0,135,0,120,0,105,0,2023/06/01,,,,,,,,,,,,,,,5059018013453,50 ML,0,,0,AVON,BOUQUET,,,,57٫89,0,0,,1,نواقص,99999,,95,,2023/06/02,,,,,,,,2023/06/01,,-1,,,,,رصيد اول المده,,,,0,36٫67,95,2021/08/01,,95,لا,150,135,120,105,0
12,AVON BUBBLE BATH WHITE LILY 1000ML,0,0,55,0,75,0,70,0,65,0,60,0,2023/12/11,,,,,,,,,,,,,,,5050136082031,WHITE LILY,0,,0,AVON,BUBBLE BATH,1000ML,,,36٫36,0,0,,1,---,99999,,55,,,,,,,,,,,,-1,,,,,رصيد اول المده,,,,0,26٫67,55,2021/08/03,,55,لا,75,70,65,60,0
13,AVON Caramapple,0,0,130,0,175,0,160,0,150,0,140,0,2022/07/26,,,,,,,,,,,,,,,5059018063663,,0,,0,AVON,Caramapple,,,,34٫62,0,0,,1,نواقص,99999,,130,,2022/07/30,,,,,,,,2022/07/26,,-1,,,,,رويال / اداره المخازن الاقصر,,,,0,25٫71,130,2021/05/13,,130,لا,175,160,150,140,0
14,AVON Care Body Lotion 400 Ml,0,0,30,0,60,0,55,0,50,0,45,0,2023/12/11,,,,,,,,,,,,,,,5059018034311,400 Ml,0,,0,AVON,Care Body Lotion,,,,100,0,0,,1,نواقص,99999,,30,,2022/06/16,,,,,,,,2021/12/25,,-1,,,,,Avon,,,,0,50,30,2021/12/19,,30,لا,60,55,50,45,0
15,AVON Care مرطب,0,0,40,0,60,0,55,0,50,0,45,0,2023/12/11,,,,,,,,,,,,,,,5059018098863,,0,,0,AVON,Care مرطب,,,,50,0,0,,1,نواقص,99999,,40,,2023/01/19,,,,,,,,2023/01/18,,-1,,,,,رويال / اداره المخازن الاقصر,,,,0,33٫33,40,2022/02/24,,40,لا,60,55,50,45,0
16,AVON CELEBRATE 75 ML FOR HIM,0,0,140,0,200,0,175,0,165,0,155,0,2025/07/02,,,,,,,,,,,,,,,5059018013767,75 ML,0,,0,AVON,CELEBRATE,FOR HIM,,,42٫86,0,0,,1,نواقص,99999,,140,,2025/02/03,,,,,,,,,,-1,,,,,رصيد اول المده,,,,0,30,140,2021/08/01,,140,لا,200,175,165,155,0
17,AVON CELEBRE 50ML,0,0,115٫6,0,175,0,155,0,145,0,135,0,2024/01/11,,,,,,,,,,,,,,,5059018104472,50ML,0,,0,AVON,CELEBRE,,,,51٫38,0,0,,1,نواقص,99999,,123,,2023/11/01,,,,,,,,2024/01/11,,-1,,,,,Avon,,,,0,33٫94,123,2021/12/19,,115٫6,لا,175,155,145,135,0
18,AVON CELEBRE FRESH,0,0,110٫1,0,150,0,140,0,130,0,125,0,2024/09/25,,,,,,,,,,,,,,,5059018104465,FRESH,0,,0,AVON,CELEBRE,,,,36٫24,0,0,,1,نواقص,99999,,115,,2024/09/26,,,,,,,,2024/09/25,,-1,,,,,Avon,,,,0,26٫6,110٫2,2021/09/13,,110٫1,لا,150,140,130,125,0
19,AVON CELEBRE ROLL,0,0,14,0,22,0,20,0,18,0,16,0,2022/05/23,,,,,,,,,,,,,,,5059018121912,ROLL,0,,0,AVON,CELEBRE,,,,57٫14,0,0,,1,نواقص,99999,,14,,2022/05/24,,,,,,,,2022/05/23,,-1,,,,,Avon,,,,0,36٫36,14,2021/12/19,,14,لا,22,20,18,16,0
20,AVON CHERISH,0,0,150,0,185,0,155,0,153,0,151,0,2023/07/14,,,,,,,,,,,,,,,049015,,0,,0,AVON,CHERISH,,,,23٫33,0,0,,1,نواقص,99999,,150,,2023/07/14,,,,,,,,2023/07/14,,-1,,,,,,,,,0,18٫92,150,2022/05/09,,150,لا,185,155,153,151,0
21,AVON CHERISH ROLL-ON,0,0,14٫33,0,22,0,20,0,17,0,15,0,2022/07/29,,,,,,,,,,,,,,,5050136455422,ROLL-ON,0,,0,AVON,CHERISH,,,,53٫49,0,0,,1,نواقص,99999,,14,,2022/07/27,,,,,,,,2022/07/29,,-1,,,,,رويال/ادره المخازن,,,,0,34٫85,14,2022/02/09,,14٫33,لا,22,20,17,15,0
22,AVON CHERRY BLOSSORE,0,0,45,0,70,0,65,0,60,0,55,0,2026/05/10,,,,,,,,,,,,,,,5059018002198,,0,,0,AVON,CHERRY BLOSSORE,,,,55٫56,0,0,,1,نواقص,99999,,45,,2023/10/12,,,,,,,,2022/05/01,,-1,,,,,رويال/ادره المخازن,,,,0,35٫71,45,2022/02/09,,45,لا,70,65,60,55,0
23,AVON EDGE MAN 75 ML,0,0,95,0,150,0,135,0,120,0,105,0,2023/03/30,,,,,,,,,,,,,,,5050136494704,75 ML,0,,0,AVON,EDGE MAN,,,,57٫89,0,0,,1,نواقص,99999,,95,,2023/03/30,,,,,,,,2023/03/30,,-1,,,,,رصيد اول المده,,,,0,36٫67,95,2021/08/03,,95,لا,150,135,120,105,0
24,AVON ENCANTO 50ml Alluring,0,0,120,0,175,0,155,0,150,0,135,0,2025/07/02,,,,,,,,,,,,,,,5059018008015,50ml,0,,0,AVON,ENCANTO,Alluring,,,45٫83,0,0,,1,نواقص,99999,,120,,2025/02/03,,,,,,,,,,-1,,,,,رصيد اول المده,,,,0,31٫43,120,2021/08/01,,120,لا,175,155,150,135,0
25,AVON EYE MAKE UP REMOVER,0,0,22٫08,0,45,0,35,0,30,0,25,0,2023/05/10,,,,,,,,,,,,,,,049009,,0,,0,AVON,EYE MAKE UP REMOVER,,,,103٫78,0,0,,1,نواقص,99999,,25,,2022/08/06,,,,,,,,2022/08/06,,-1,,,,,,,,,0,50٫93,25,2022/08/06,,22٫08,لا,45,35,30,25,0
26,AVON FAR AWAY,0,0,250,0,357,0,350,0,345,0,340,0,2024/05/30,,,,,,,,,,,,,,,5059018288592,,0,,0,AVON,FAR AWAY,,,,42٫8,0,0,,1,نواقص,99999,,250,,2024/05/30,,,,,,,,2024/05/30,,-1,,,,,,,,,0,29٫97,250,2024/05/09,,250,لا,357,350,345,340,0
27,AVON FAR AWAY 50ML,0,0,124٫63,0,175,0,155,0,150,0,135,0,2023/12/11,,,,,,,,,,,,,,,5050136672461,50ML,0,,0,AVON,FAR AWAY,,,,40٫41,0,0,,1,نواقص,99999,,125,,2022/06/16,,,,,,,,2021/12/15,,-1,,,,,رويال / اداره المخازن الاقصر,,,,0,28٫78,125,2021/11/24,,124٫63,لا,175,155,150,135,0
28,AVON FAR AWAY BODY LOTION 150ML,0,0,55,0,100,0,90,0,80,0,70,0,2024/05/19,,,,,,,,,,,,,,,5059018036063,BODY LOTION,0,,0,AVON,FAR AWAY,150ML,,,81٫82,0,0,,1,نواقص,99999,,55,,2024/05/20,,,,,,,,2024/05/19,,-1,,,,,,,,,0,45,55,2024/05/09,,55,لا,100,90,80,70,0
29,AVON FAR AWAY Rebel & Diva,0,0,124٫45,0,175,0,160,0,150,0,135,0,2023/08/23,,,,,,,,,,,,,,,5059018048554,Rebel & Diva,0,,0,AVON,FAR AWAY,,,,40٫62,0,0,,1,نواقص,99999,,125,,2023/08/24,,,,,,,,2023/08/23,,-1,,,,,رويال/ادره المخازن,,,,0,28٫89,125,2022/02/09,,124٫45,لا,175,160,150,135,0
30,AVON FAR AWAY ROLL-ON,0,0,29٫37,0,45,0,42,0,40,0,38,0,2025/07/02,,,,,,,,,,,,,,,5059018023094,ROLL-ON,0,,0,AVON,FAR AWAY,,,,53٫2,0,0,,1,نواقص,99999,,30,,2025/02/03,,,,,,,,2024/05/31,,-1,,,,,,,,,0,34٫73,30,2024/03/11,,29٫37,لا,45,42,40,38,0
31,AVON FAR AWAY GLAMOUR 50 Ml,0,0,135,0,225,0,200,0,175,0,165,0,2023/12/11,,,,,,,,,,,,,,,5050136672270,50 Ml,0,,0,AVON,FAR AWAY GLAMOUR,,,,66٫67,0,0,,1,نواقص,99999,,135,,2022/08/12,,,,,,,,,,-1,,,,,نقدي متنوع,,,,0,40,135,2022/05/23,,135,لا,225,200,175,165,0
32,AVON FAR AWAY GLAMOUR BODY LOTION 150 ML,0,0,29٫47,0,60,0,50,0,45,0,35,0,2023/12/11,,,,,,,,,,,,,,,5059018003461,BODY LOTION,0,,0,AVON,FAR AWAY GLAMOUR,150 ML,,,103٫62,0,0,,1,نواقص,99999,,31,,2022/06/16,,,,,,,,2022/06/15,,-1,,,,,رويال/ادره المخازن,,,,0,50٫89,31,2022/02/09,,29٫47,لا,60,50,45,35,0
33,AVON FARAWAY GLAMOUR ROLL-ON,1,0,20٫22,0,42,0,40,1,38,0,35,0,2024/02/09,,,,,,,,,,,,,,,5050136188511,ROLL-ON,0,,20٫2188,AVON,FARAWAY GLAMOUR,,,,107٫73,1,0,,1,نواقص,99999,,26,,2024/02/09,,,,,,,,2024/02/09,,-1,,,,,Avon,,,,0,51٫86,26,2023/10/21,,20٫22,لا,42,40,38,35,0
34,AVON Frozen 70 Ml Gift Set,0,0,120,0,150,0,145,0,140,0,135,0,2025/07/02,,,,,,,,,,,,,,,5059018023100,70 Ml,0,,0,AVON,Frozen,Gift Set,,,25,0,0,,1,نواقص,99999,,120,,2025/02/03,,,,,,,,,,-1,,,,,رصيد اول المده,,,,0,20,120,2021/08/01,,120,لا,150,145,140,135,0
35,AVON FULL SPEED GAMER,0,0,119٫78,0,160,0,150,0,140,0,135,0,2023/12/11,,,,,,,,,,,,,,,5059018150530,GAMER,0,,0,AVON,FULL SPEED,,,,33٫58,0,0,,1,---,99999,,125,,,,,,,,,,,,-1,,,,,Avon,,,,0,25٫14,119٫78,2021/09/13,,119٫78,لا,160,150,140,135,0
36,AVON FULL SPEED ORIGINAL,0,0,119٫78,0,160,0,150,0,140,0,135,0,2023/12/11,,,,,,,,,,,,,,,5059018165459,ORIGINAL,0,,0,AVON,FULL SPEED,,,,33٫58,0,0,,1,نواقص,99999,,125,,2023/02/15,,,,,,,,,,-1,,,,,Avon,,,,0,25٫14,119٫78,2021/09/13,,119٫78,لا,160,150,140,135,0
37,AVON FULL SPEED VIRTUAL ADRENALINE,0,0,119٫78,0,160,0,150,0,140,0,135,0,2022/10/03,,,,,,,,,,,,,,,5059018152084,VIRTUAL ADRENALINE,0,,0,AVON,FULL SPEED,,,,33٫58,0,0,,1,نواقص,99999,,125,,2022/10/03,,,,,,,,2022/10/03,,-1,,,,,Avon,,,,0,25٫14,119٫78,2021/09/13,,119٫78,لا,160,150,140,135,0
38,AVON Full Speed Shampo Anti Dandruf,0,0,15,0,35,0,30,0,25,0,20,0,2024/03/31,,,,,,,,,,,,,,,5059018007599,Anti Dandruf,0,,0,AVON,Full Speed Shampo,,,,133٫33,0,0,,1,نواقص,99999,,15,,2024/03/31,,,,,,,,2024/03/31,,-1,,,,,رويال / اداره المخازن الاقصر,,,,0,57٫14,15,2021/05/13,,15,لا,35,30,25,20,0
39,AVON Fullspeed Body Wash,0,0,15,0,35,0,30,0,25,0,20,0,2024/01/23,,,,,,,,,,,,,,,049010,,0,,0,AVON,Fullspeed Body Wash,,,,133٫33,0,0,,1,نواقص,99999,,15,,2024/01/23,,,,,,,,2024/01/23,,-1,,,,,رويال / اداره المخازن الاقصر,,,,0,57٫14,15,2021/05/13,,15,لا,35,30,25,20,0
40,AVON Fullspeed Edt,0,0,0,0,150,0,135,0,125,0,110,0,,,,,,,,,,,,,,,,049000,,0,,0,AVON,Fullspeed Edt,,,,,0,0,,1,نواقص,99999,,0,,2021/07/12,,,,,,,,,,-1,,,,,,,,,0,,0,,,0,لا,150,135,125,110,0
41,AVON Fullspeed Edt Roll,0,0,30,0,45,0,42,0,40,0,38,0,2025/07/02,,,,,,,,,,,,,,,5059018217189,Roll,0,,0,AVON,Fullspeed Edt,,,,50,0,0,,1,نواقص,99999,,30,,2025/02/03,,,,,,,,2024/01/31,,-1,,,,,,,,,0,33٫33,30,2024/03/11,,30,لا,45,42,40,38,0
42,AVON Glamstyl,0,0,110,0,160,0,150,0,140,0,135,0,2023/10/25,,,,,,,,,,,,,,,5059018067586,,0,,0,AVON,Glamstyl,,,,45٫45,0,0,,1,---,99999,,110,,2023/10/12,,,,,,,,2023/10/25,,-1,,,,,رويال/ادره المخازن,,,,0,31٫25,110,2022/02/09,,110,لا,160,150,140,135,0
43,AVON GOOD NIGHT SWEET HEART 500ML,0,0,34٫27,0,60,0,55,0,50,0,45,0,2023/12/11,,,,,,,,,,,,,,,5059018096517,500ML,0,,0,AVON,GOOD NIGHT SWEET HEART,,,,75٫09,0,0,,1,نواقص,99999,,35,,2022/05/04,,,,,,,,2022/05/03,,-1,,,,,Avon,,,,0,42٫89,33٫54,2021/09/13,,34٫27,لا,60,55,50,45,0
44,AVON HAIR & BODY WASH SENSES 2IN1 FOR MEN,0,0,36,0,65,0,50,0,45,0,40,0,2026/05/10,,,,,,,,,,,,,,,5059018074690,SENSES,0,,0,AVON,HAIR & BODY WASH,2IN1 FOR MEN,720 ML,,80٫56,0,0,,1,---,99999,,36,,,,,,,,,,,,-1,,,,,رصيد اول المده,,,,0,44٫62,36,2021/08/03,,36,لا,65,50,45,40,0
45,AVON HAIR CARE NATURALE 125ML,0,0,11,0,20,0,18,0,15,0,12,0,2025/07/02,,,,,,,,,,,,,,,5050136373184,NATURALE,0,,0,AVON,HAIR CARE,125ML,,,81٫82,0,0,,1,نواقص,99999,,11,,2025/02/03,,,,,,,,,,-1,,,,,رويال/ادره المخازن,,,,0,45,11,2022/02/09,,11,لا,20,18,15,12,0
46,AVON HAIR LOTION ADANED TECHNIQUES,0,0,9٫58,0,35,0,25,0,20,0,15,0,2022/08/19,,,,,,,,,,,,,,,5059018090652,ADANED TECHNIQUES,0,,0,AVON,HAIR LOTION,,,,265٫27,0,0,,1,---,99999,,10,,,,,,,,,,,,-1,,,,,Avon,,,,0,72٫62,9٫58,2021/09/13,,9٫58,لا,35,25,20,15,0
47,AVON High Copy,0,0,48٫2,0,95,0,85,0,75,0,65,0,2026/05/10,,,,,,,,,,,,,,,049016,,0,,0,AVON,High Copy,,,,97٫12,0,0,,1,نواقص,99999,,45,,2023/10/12,,,,,,,,2023/08/04,,-1,,,,,محمود السقاري,,,,0,49٫27,48٫21,2023/03/01,,48٫2,لا,95,85,75,65,0
48,AVON INCANDESSENCE,0,0,74٫45,0,175,0,160,0,150,0,135,0,2023/12/11,,,,,,,,,,,,,,,5059018031747   5059018175076,,0,,0,AVON,INCANDESSENCE,,,,135٫06,0,0,,1,نواقص,99999,,123٫9,,2022/06/16,,,,,,,,2022/03/30,,-1,,,,,Avon,,,,0,57٫46,123٫9,2021/10/30,,74٫45,لا,175,160,150,135,0
49,AVON INCANDESSENCE Body Lotion,0,0,25,0,60,0,55,0,50,0,45,0,2022/02/14,,,,,,,,,,,,,,,049013,Body Lotion,0,,0,AVON,INCANDESSENCE,,,,140,0,0,,1,نواقص,99999,,25,,2022/02/15,,,,,,,,2022/02/14,,-1,,,,,رويال / اداره المخازن الاقصر,,,,0,58٫33,25,2021/12/29,,25,لا,60,55,50,45,0
50,AVON INCANDESSENCE ENJOY BODY LOTION,0,0,25,0,60,0,55,0,50,0,45,0,2023/12/11,,,,,,,,,,,,,,,049014,ENJOY,0,,0,AVON,INCANDESSENCE,BODY LOTION,,,140,0,0,,1,نواقص,99999,,25,,2022/06/16,,,,,,,,,,-1,,,,,رويال / اداره المخازن الاقصر,,,,0,58٫33,25,2021/12/29,,25,لا,60,55,50,45,0
51,AVON INCANDESSENCE ROLL-ON,0,0,25٫58,0,42,0,40,0,38,0,35,0,2025/06/28,,,,,,,,,,,,,,,5059018006899,ROLL-ON,0,,0,AVON,INCANDESSENCE,,,,64٫22,0,0,,1,نواقص,99999,,27,,2024/04/05,,,,,,,,2024/04/05,,-1,,,,,,,,,0,39٫11,27,2023/12/12,,25٫58,لا,42,40,38,35,0
52,AVON INCANDESSENCE ENJOY 50ML,0,0,115,0,175,0,155,0,140,0,130,0,2022/08/12,,,,,,,,,,,,,,,5059018031686,50ML,0,,0,AVON,INCANDESSENCE ENJOY,,,,52٫17,0,0,,1,نواقص,99999,,115,,2022/08/12,,,,,,,,2022/08/12,,-1,,,,,رصيد اول المده,,,,0,34٫29,115,2021/08/01,,115,لا,175,155,140,130,0
53,AVON INDIVIDUAL BLUE 50ML ORIGENAL,0,0,114٫89,0,160,0,150,0,140,0,130,0,2023/08/28,,,,,,,,,,,,,,,5059018015693,50ML ORIGENAL,0,,0,AVON,INDIVIDUAL BLUE,,,,39٫26,0,0,,1,نواقص,99999,,125,,2023/08/28,,,,,,,,2023/08/28,,-1,,,,,Avon,,,,0,28٫19,119٫78,2021/09/13,,114٫89,لا,160,150,140,130,0
54,AVON INDIVIDUAL BLUE Roll,0,0,26,0,42,0,40,0,38,0,35,0,2023/12/24,,,,,,,,,,,,,,,5059018015921,Roll,0,,0,AVON,INDIVIDUAL BLUE,,,,61٫54,0,0,,1,نواقص,99999,,26,,2023/12/24,,,,,,,,2023/12/24,,-1,,,,,Avon,,,,0,38٫1,26,2023/10/21,,26,لا,42,40,38,35,0
55,AVON INDIVIDUAL BLUE SUNSET,0,0,121٫89,0,175,0,160,0,150,0,135,0,2024/04/18,,,,,,,,,,,,,,,5050136143275,SUNSET,0,,0,AVON,INDIVIDUAL BLUE,,,,43٫57,0,0,,1,نواقص,99999,,123٫9,,2024/04/18,,,,,,,,2024/04/18,,-1,,,,,Avon,,,,0,30٫35,123٫9,2021/10/30,,121٫89,لا,175,160,150,135,0
56,AVON Life Colour Spray,0,0,30,0,75,0,65,0,55,0,45,0,2025/07/02,,,,,,,,,,,,,,,5050136154080,,0,,0,AVON,Life Colour Spray,,,,150,0,0,,1,نواقص,99999,,30,,2025/02/03,,,,,,,,,,-1,,,,,رويال / اداره المخازن الاقصر,,,,0,60,30,2022/04/12,,30,لا,75,65,55,45,0
57,AVON LITTLE BLACK DRESS BODY LOTION 150ML,0,0,31٫5,0,60,0,50,0,40,0,35,0,2021/12/11,,,,,,,,,,,,,,,5050136183738,BODY LOTION,0,,0,AVON,LITTLE BLACK DRESS,150ML,WEEKEND,,90٫48,0,0,,1,---,99999,,31٫5,,,,,,,,,,2021/12/11,,-1,,,,,رصيد اول المده,,,,0,47٫5,31٫5,2021/08/03,,31٫5,لا,60,50,40,35,0
58,AVON LITTLE BLACK DRESS ROLL-ON,0,0,30,0,45,0,42,0,40,0,38,0,2025/07/02,,,,,,,,,,,,,,,5050136151317   5059018264343,ROLL-ON,0,,0,AVON,LITTLE BLACK DRESS,,,,50,0,0,,1,نواقص,99999,,30,,2025/02/03,,,,,,,,2022/08/05,,-1,,,,,,,,,0,33٫33,30,2024/03/11,,30,لا,45,42,40,38,0
59,AVON LITTLE PARFUM,0,0,1,0,3,0,2,0,1٫5,0,1٫5,0,2023/12/11,,,,,,,,,,,,,,,049003,,0,,0,AVON,LITTLE PARFUM,,,,200,0,0,,1,---,99999,,1,,,,,,,,,,,,-1,,,,,رصيد اول المده,,,,0,66٫67,1,2021/08/29,,1,لا,3,2,1٫5,1٫5,0
60,AVON Luck 10 Ml,0,0,35,0,60,0,55,0,50,0,45,0,2023/12/11,,,,,,,,,,,,,,,5059018101808,10 Ml,0,,0,AVON,Luck,,,,71٫43,0,0,,1,نواقص,99999,,35,,2023/10/12,,,,,,,,,,-1,,,,,Avon,,,,0,41٫67,35,2021/12/19,,35,لا,60,55,50,45,0
61,AVON LUCKY ME BODY LOTION 150ML,0,0,31٫5,0,60,0,50,0,40,0,35,0,2022/02/12,,,,,,,,,,,,,,,5059018067494,BODY LOTION,0,,0,AVON,LUCKY ME,150ML,,,90٫48,0,0,,1,---,99999,,31٫5,,,,,,,,,,2022/02/12,,-1,,,,,رصيد اول المده,,,,0,47٫5,31٫5,2021/08/03,,31٫5,لا,60,50,40,35,0
62,AVON Luminata 30ml,0,0,123٫9,0,175,0,160,0,150,0,135,0,2022/08/18,,,,,,,,,,,,,,,049012   5059018014559,,0,,0,AVON,Luminata 30ml,,,,41٫24,0,0,,1,نواقص,99999,,123٫9,,2022/08/18,,,,,,,,2022/08/18,,-1,,,,,Avon,,,,0,29٫2,123٫9,2021/10/30,,123٫9,لا,175,160,150,135,0
63,AVON MAXIME HAIR & BODY WASH FOR HIM,0,0,36,0,70,0,60,0,50,0,40,0,2026/05/10,,,,,,,,,,,,,,,5059018023124,HAIR & BODY WASH,0,,0,AVON,MAXIME,FOR HIM,,,94٫44,0,0,,1,---,99999,,36,,,,,,,,,,,,-1,,,,,رصيد اول المده,,,,0,48٫57,36,2021/08/03,,36,لا,70,60,50,40,0
