م,الصنف,كمية,رويال الكيم / سنتر اللوتس التجاري,سعر التكلفة,رويال الكيم اونلاين,سعر1 كارت,رويال توزيع / عربيه,سعر2 كارت,ريال الكيم / اداره مخازن,سعر3 كارت,ROYAL ELCHIM . HURGADA,سعر4 كارت,ROYAL ELCHIM MARWA,تاريخ اخر حركة,الفرق,بيع,شراء,مرتجع بيع,مرتجع شراء,صادر,وارد,تالف,تسوية,قيمة بيع,قيمة شراء,قيمة مرتجع بيع,قيمة مرتجع شراء,قيمة تالف,الباركود,الوصف,حجز,غير مؤكد,ج تكلفة,نوع الصنف,اسم الصنف,الوصف 4,الوصف 5,ترتيب القائمة,سعر1 %,إجمالي الكمية,حد الطلب رويال الكيم / سنتر اللوتس التجاري,التصنيف الرئيسي,اسم القائمة,نواقص رويال الكيم / سنتر اللوتس التجاري,اخر تسوية رويال الكيم / سنتر اللوتس التجاري,صورة الصنف,اخر سعر شراء,سعر عرض,تاريخ النواقص,خصم بيع,خصم شراء,سعر1 = رويال الكيم / سنتر اللوتس التجاري,سعر2 = رويال الكيم / سنتر اللوتس التجاري,سعر3 = رويال الكيم / سنتر اللوتس التجاري,سعر4 = رويال الكيم / سنتر اللوتس التجاري,مطلوب حد الطلب,تاريخ اخر بيع,أونلاين,كمية أونلاين,تاريخ خصم أونلاين,سعر أونلاين,#هاشتاج,كلمات البحث,مورد اخر,ملاحظات,أول تاريخ,اخر تاريخ,تحت الطلب,نسبة الخصم**,اخر سعر تكلفة,تاريخ اخر شراء,*اسم الصنف Online,سعر تكلفة مخصص,إيقاف الإدراج,قيمة سعر1,قيمة سعر2,قيمة سعر3,قيمة سعر4,عدد الصور
4599,خردوات كتاب رموش 16 جوز,0,0,171٫06,0,250,0,220,0,200,0,190,0,2023/08/05,,,,,,,,,,,,,,,009355,,0,,0,خردوات,كتاب رموش 16 جوز,,,,46٫14,0,0,,1,نواقص,99999,,165,,2023/04/27,,,,,,,,2023/08/05,,-1,,,,,معرض صاصا,,,,0,31٫57,171٫06,2023/03/04,,171٫06,لا,250,220,200,190,0
4600,خردوات كرستالة ازاله شعر,3,0,52٫5,2,80,0,70,1,60,0,50,0,2025/12/09,,,,,,,,,,,,,,,6976622145013,,0,,157٫5,خردوات,كرستالة ازاله شعر,,,,52٫38,3,0,,1,نواقص,99999,,27٫5,,2025/12/09,,,,,,,,2025/12/09,,-1,,,,,ميخائيل نجع حمادي,,,,0,34٫38,27٫5,2024/03/05,,52٫5,لا,80,70,60,50,0
4601,خردوات كروم اكليريك لوكس,2,2,41٫47,0,75,0,65,0,55,0,50,0,2026/01/03,,,,,,,,,,,,,,,009335,,0,,82٫94,خردوات,كروم اكليريك لوكس,,,,80٫85,2,0,,1,---,99999,,40,,2025/12/24,,,,,,,,2024/11/28,,-1,,,,,معرض صاصا,,,,0,44٫71,41٫47,2023/03/04,,41٫47,لا,75,65,55,50,0
4602,خردوات كريستاله Epilator,4,0,48٫25,3,125,0,110,0,105,1,100,0,2026/01/03,,,,,,,,,,,,,,,6972288685542,,0,,193,خردوات,كريستاله Epilator,,,,159٫07,4,0,,1,نواقص,99999,,35,,2025/09/24,,,,,,,,2025/09/24,,-1,,,,,مايكل ثروت / مايت سينما,,,,0,61٫4,35,2023/08/10,,48٫25,لا,125,110,105,100,0
4603,خردوات كريستاله ازاله شعر,1,0,70,1,125,0,110,0,100,0,85,0,2023/11/18,,,,,,,,,,,,,,,009358,,0,,70,خردوات,كريستاله ازاله شعر,,,,78٫57,1,0,,1,نواقص,99999,,70,,2023/10/13,,,,,,,,2023/05/09,,-1,,,,,ميخائيل نجع حمادي,,,,0,44,70,2023/03/15,,70,لا,125,110,100,85,0
4604,خردوات كريستاله غطا,6,0,20٫74,0,30,0,28,4,25,2,23,0,2026/01/09,,,,,,,,,,,,,,,009353,,0,,124٫41,خردوات,كريستاله غطا,,,,44٫68,6,0,,1,نواقص,99999,,20,,2025/12/24,,,,,,,,,,-1,,,,,معرض صاصا,,,,0,30٫88,20٫74,2023/03/04,,20٫74,لا,30,28,25,23,0
4605,خردوات كعب سيليكون,1,0,13٫5,1,25,0,22,0,18,0,16,0,2023/11/18,,,,,,,,,,,,,,,009359,,0,,13٫5,خردوات,كعب سيليكون,,,,85٫19,1,0,,1,نواقص,99999,,13٫5,,2023/10/13,,,,,,,,2023/07/13,,-1,,,,,ميخائيل نجع حمادي,,,,0,46,13٫5,2023/05/08,,13٫5,لا,25,22,18,16,0
4606,خردوات كلبس استانلس 1 ق,162,0,1٫62,151,5,0,4٫5,11,4,0,3٫5,0,2025/12/27,,,,,,,,,,,,,,,009275,,0,,262٫5534,خردوات,كلبس استانلس 1 ق,,,,208٫51,162,0,,1,نواقص,99999,,1٫67,,2025/02/04,,,,,,,,2024/05/27,,-1,,,,,نقدي متنوع,,,,0,67٫59,1٫67,2023/12/28,,1٫62,لا,5,4٫5,4,3٫5,0
4607,خردوات كلبس الوان بالقطعه,0,0,0,0,5,0,4٫5,0,4,0,3٫5,0,,,,,,,,,,,,,,,,009162,,0,,0,خردوات,كلبس الوان بالقطعه,,,,,0,0,,1,نواقص,99999,,0,,2021/07/14,,,,,,,,,,-1,,,,,,,,,0,,0,,,0,لا,5,4٫5,4,3٫5,0
4608,خردوات كلبس تمساح,1,0,20,0,40,0,35,1,30,0,25,0,2025/10/10,,,,,,,,,,,,,,,009365,,0,,20,خردوات,كلبس تمساح,,,,100,1,0,,1,نواقص,99999,,20,,2025/02/04,,,,,,,,2024/04/09,,-1,,,,,معرض الوكيل للتجاره,,,,0,50,20,2023/07/13,,20,لا,40,35,30,25,0
